userId,date,product,cost
t054hrczly04vrf,2020-05-04,promotiondeal1,0.99
nmkzr6rjop5igcz,2020-05-05,promotiondeal1,0.99
rpa7dpseh6bddw2,2020-05-10,cashinjection,0.99
sxlb2r42xb2sss0,2020-05-04,cashinjection,0.99
gugw3gxzljof3d0,2020-05-08,chairmanbonus,0.99
8d8ar3j9avfa35p,2020-05-13,promotiondeal2,0.99
dc9e61ah5qtrkfb,2020-05-04,starterpack1,5.49
qedk2y11roqa6pj,2020-05-15,chairmanbonus,0.99
vg3agwehx1ro9as,2020-05-10,hc2,9.99
wj1cqi5zq2kw1di,2020-05-09,promotiondeal2,0.99
2lsddirc88go9jd,2020-05-10,cashinjection,0.99
q918i7u94qkt3yf,2020-05-11,superinvestment,4.99
i20qlkb0kwh64i9,2020-05-12,promotiondeal3,0.99
3oa50doe9eus7f5,2020-05-02,promotiondeal2,0.99
8qv1macj5wfiqt7,2020-05-15,starterpack1,5.49
93l385wkx63y4h7,2020-05-07,promotiondeal1,0.99
38zgotnjkr8xfc0,2020-05-12,hc2,9.99
dsnskxj7e5796dv,2020-05-02,promotiondeal1,0.99
knee29fuvkv7ovl,2020-05-10,starterpack2,19.99
vu2tjhsosuqduld,2020-05-04,cashinjection,0.99
iwk5f2t51td5rto,2020-05-06,viptoken,6.99
7xaxc2xid84uh77,2020-05-12,starterpack2,19.99
4jlppd6i1htd6v5,2020-05-05,hc3,19.99
uf23vakuqbgj72x,2020-05-01,cashinjection,0.99
sff8huxidkkjb9e,2020-05-04,cashinjection,0.99
ufkawi7haf0pmxm,2020-05-10,cashinjection,0.99
y818bbplzy4k3b2,2020-05-09,hc2,9.99
4ub4i8em44ponnr,2020-05-04,cashinjection,0.99
qk88t6m5f0habwm,2020-05-13,cashinjection,0.99
p3tp868hxfathf6,2020-05-04,cashinjection,0.99
w9jk96xwqcgemnt,2020-05-14,promotiondeal1,0.99
23uond7xc72sliu,2020-05-15,starterpack2,19.99
272xegh5yll5ngy,2020-05-07,starterpack1,5.49
hx3fnoqoqwas86z,2020-05-02,promotiondeal2,0.99
s1aeya6v3mbegx7,2020-05-06,hc1,4.99
aby6hqehdh1wob1,2020-05-15,superinvestment,4.99
p6qki4y80ctiaoz,2020-05-15,viptoken,6.99
ubalezs16yashk0,2020-05-13,starterpack1,5.49
rh0y7mnmlcsrors,2020-05-15,superinvestment,4.99
i2nhj7hc0cx5eky,2020-05-09,cashinjection,0.99
e39hghkximtkvs8,2020-05-10,promotiondeal4,0.99
jxv7c1cqtwfvgt4,2020-05-08,chairmanbonus,0.99
snin29t4j12oj2v,2020-05-13,cashinjection,0.99
xz1u25n1e42jqe5,2020-05-02,chairmanbonus,0.99
zn5meinbho6jv9f,2020-05-12,starterpack1,5.49
ks0p3s4735wgd7r,2020-05-10,cashinjection,0.99
kmzorphuap2prok,2020-05-09,promotiondeal2,0.99
7x077ld304n88c7,2020-05-03,cashinjection,0.99
rlfzk80z8gjqbnq,2020-05-10,cashinjection,0.99
nd49hxvc5f215mz,2020-05-14,promotiondeal1,0.99
alnbfoxkdvp9syh,2020-05-04,cashinjection,0.99
api0nnox50hcbm7,2020-05-04,cashinjection,0.99
yxir65qokvbes0q,2020-05-11,chairmanbonus,0.99
gw9x1ue73m8am4w,2020-05-08,viptoken,6.99
2weuoieah4u62qo,2020-05-11,chairmanbonus,0.99
cqe62zjqe89gb0z,2020-05-06,starterpack1,5.49
vy48bo8m1bgjjcn,2020-05-01,cashinjection,0.99
8wd9wjt6aboqirf,2020-05-10,cashinjection,0.99
qd5623m3l6qj5n4,2020-05-13,viptoken,6.99
q1khsppj4q3o0di,2020-05-04,hc3,19.99
iz3ihv0ullap1dm,2020-05-04,viptoken,6.99
y3kcm3nc3kpkrg2,2020-05-10,promotiondeal1,0.99
9pgwpqxm27h5rtc,2020-05-08,hc2,9.99
lmgssvib2rnukyx,2020-05-15,superinvestment,4.99
4eh4kb89adpeyzx,2020-05-06,promotiondeal1,0.99
